,Unicode,Standard,,Iso latin 1,,CE,,Symbol,,PS name,Unicode name
,hex,octal,hex,octal,hex,octal,hex,octal,hex,,
65,41,101,41,101,41,101,41,,,A,latin capital letter a
97,61,141,61,141,61,141,61,,,a,latin small letter a
193,00C1,,,301,00C1,301,00C1,,,Aacute,latin capital letter a with acute
225,0,,,341,E1,341,E1,,,aacute,latin small letter a with acute
,U+0102,,,,,303,00C3,,,Abreve,latin capital letter a with breve
,U+0103,,,,,343,E3,,,abreve,latin small letter a with breve
194,00C2,,,302,00C2,302,00C2,,,Acircumflex,latin capital letter a with circumflex
226,0,,,342,E2,342,E2,,,acircumflex,latin small letter a with circumflex
180,00B4,302,00C2,264,00B4,264,00B4,,,acute,acute accent
196,00C4,,,304,00C4,304,00C4,,,Adieresis,latin capital letter a with diaresis
228,0,,,344,E4,344,E4,,,adieresis,latin small letter a with diaresis
198,00C6,341,E1,306,00C6,,,,,AE,latin capital latter ae
230,0,361,00F1,346,E6,,,,,ae,LATIN SMALL LETTER AE
192,00C0,,,300,00C0,,,,,Agrave,latin capital letter a with grave
224,0,,,340,E0,,,,,agrave,latin small letter a with grave
,2135,,,,,,,300,C0,aleph,ALEF SYMBOL
,391,,,,,,,101,41,Alpha,greek capital letter alpha
,03B1,,,,,,,141,61,alpha,GREEK SMALL LETTER ALPHA
38,26,46,26,46,26,46,26,46,26,ampersand,ampersand
,2220,,,,,,,320,D0,angle,angle
,2329,,,,,,,341,E1,angleleft,LEFT-POINTING ANGLE BRACKET
,232A,,,,,,,361,F1,angleright,RIGHT-POINTING ANGLE BRACKET
,U+0104,,,,,245,00A5,,,Aogonek,latin capital letter a with ogonek
,U+0105,,,,,271,00B9,,,aogonek,latin small letter a with ogonek
,2248,,,,,,,273,BB,approxequal,ALMOST EQUAL TO
197,00C5,,,305,00C5,,,,,Aring,latin capital letter a with ring above
229,0,,,345,E5,,,,,aring,latin small letter a with ring above
,2194,,,,,,,253,AB,arrowboth,LEFT RIGHT ARROW
,21D4,,,,,,,333,DB,arrowdblboth,LEFT RIGHT DOUBLE ARROW
,21D3,,,,,,,337,DF,arrowdbldown,DOWNWARDS DOUBLE ARROW
,21D0,,,,,,,334,DC,arrowdblleft,LEFTWARDS DOUBLE ARROW
,21D2,,,,,,,336,DE,arrowdblright,RIGHTWARDS DOUBLE ARROW
,21D1,,,,,,,335,DD,arrowdblup,UPWARDS DOUBLE ARROW
,2193,,,,,,,257,AF,arrowdown,DOWNWARDS ARROW
,F8E7,,,,,,,276,BE,arrowhorizex (CUS),HORIZONTAL ARROW EXTENDER
,2190,,,,,,,254,AC,arrowleft,LEFTWARDS ARROW
,2192,,,,,,,256,AE,arrowright,RIGHTWARDS ARROW
,2191,,,,,,,255,AD,arrowup,UPWARDS ARROW
,F8E6,,,,,,,275,BD,arrowvertex (CUS),VERTICAL ARROW EXTENDER
94,005E,136,005E,136,005E,136,005E,,,asciicircum,circumflex accent
126,007E,176,007E,176,007E,176,007E,,,asciitilde,tilde
42,002A,52,002A,52,002A,52,002A,,,asterisk,asterisk
,2217,,,,,,,052,2A,asteriskmath,ASTERISK OPERATOR
64,40,100,40,100,40,100,40,,,at,commercial at
195,00C3,,,303,00C3,,,,,Atilde,latin capital letter a with tilde
227,0,,,343,E3,,,,,atilde,latin small letter a with tilde
66,42,102,42,102,42,102,42,,,B,latin capital letter b
98,62,142,62,142,62,142,62,,,b,latin small letter b
92,005C,134,005C,134,005C,134,005C,,,backslash,reverse solidus
124,007C,174,007C,174,007C,174,007C,174,7C,bar,vertical line
,392,,,,,,,102,42,Beta,GREEK CAPITAL LETTER BETA
,03B2,,,,,,,142,62,beta,GREEK SMALL LETTER BETA
,F8F4,,,,,,,357,EF,braceex (CUS),CURLY BRACKET EXTENDER
123,007B,173,007B,173,007B,173,007B,173,7B,braceleft,left curly bracket
,007B,,,,,,,173,7B,braceleft,LEFT CURLY BRACKET
,F8F3,,,,,,,356,EE,braceleftbt (CUS),LEFT CURLY BRACKET BOTTOM
,F8F2,,,,,,,355,ED,braceleftmid (CUS),LEFT CURLY BRACKET MID
,F8F1,,,,,,,354,EC,bracelefttp (CUS),LEFT CURLY BRACKET TOP
125,007D,175,007D,175,007D,175,007D,175,7D,braceright,right curly bracket
,F8FE,,,,,,,376,FE,bracerightbt (CUS),RIGHT CURLY BRACKET BOTTOM
,F8FD,,,,,,,375,FD,bracerightmid (CUS),RIGHT CURLY BRACKET MID
,F8FC,,,,,,,374,FC,bracerighttp (CUS),RIGHT CURLY BRACKET TOP
91,005B,133,005B,133,005B,133,005B,133,5B,bracketleft,left square bracket
,F8F0,,,,,,,353,EB,bracketleftbt (CUS),LEFT SQUARE BRACKET BOTTOM
,F8EF,,,,,,,352,EA,bracketleftex (CUS),LEFT SQUARE BRACKET EXTENDER
,F8EE,,,,,,,351,E9,bracketlefttp (CUS),LEFT SQUARE BRACKET TOP
93,005D,135,005D,135,005D,135,005D,135,5D,bracketright,right square bracket
,F8FB,,,,,,,373,FB,bracketrightbt (CUS),RIGHT SQUARE BRACKET BOTTOM
,F8FA,,,,,,,372,FA,bracketrightex (CUS),RIGHT SQUARE BRACKET EXTENDER
,F8F9,,,,,,,371,F9,bracketrighttp (CUS),RIGHT SQUARE BRACKET TOP
150,U+02d8,306,00C6,226,96,242,00A2,,,breve,
166,00A6,,,246,00A6,246,00A6,,,brokenbar,broken bar
,U+2022,267,00B7,,,225,95,267,B7,bullet,bullet (was b7 middle dot)
67,43,103,43,103,43,103,43,,,C,latin capital letter c
99,63,143,63,143,63,143,63,,,c,latin small letter c
,U+0106,,,,,306,00C6,,,Cacute,latin capital letter c with acute
,U+0107,,,,,346,E6,,,cacute,latin small letter c with acute
159,U+02c7,317,00CF,237,009F,241,00A1,,,caron,caron
,21B5,,,,,,,277,BF,carriagereturn,DOWNWARDS ARROW WITH CORNER LEFTWARDS
,U+010c,,,,,310,00C8,,,Ccaron,latin capital letter c with caron
,U+010d,,,,,350,E8,,,ccaron,latin small letter c with caron
199,00C7,,,307,00C7,307,00C7,,,Ccedilla,latin capital letter c with cedilla
231,0,,,347,E7,347,E7,,,ccedilla,latin small letter c with cedilla
,00B8,313,CB,,,,,,,cedilla,CEDILLA
162,00A2,242,00A2,242,00A2,,,,,cent,cent sign
,03A7,,,,,,,103,43,Chi,GREEK CAPITAL LETTER CHI
,03C7,,,,,,,143,63,chi,GREEK SMALL LETTER CHI
